code,parent_code,name,level,description,indication,smiles,drugbank_id
L01X,L01,OTHER ANTINEOPLASTIC AGENTS in ATC,3.0,,,,
L02A,L02,HORMONES AND RELATED AGENTS,3.0,,,,
L02B,L02,HORMONE ANTAGONISTS AND RELATED AGENTS,3.0,,,,
L03A,L03,IMMUNOSTIMULANTS,3.0,,,,
L04A,L04,IMMUNOSUPPRESSANTS,3.0,,,,
M01A,M01,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",3.0,,,,
M01B,M01,ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION,3.0,,,,
M01C,M01,SPECIFIC ANTIRHEUMATIC AGENTS,3.0,,,,
M02A,M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,3.0,,,,
M03A,M03,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",3.0,,,,
M03B,M03,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",3.0,,,,
M03C,M03,"MUSCLE RELAXANTS, DIRECTLY ACTING AGENTS",3.0,,,,
M04A,M04,ANTIGOUT PREPARATIONS,3.0,,,,
M05B,M05,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,3.0,,,,
M09A,M09,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM in ATC,3.0,,,,
N01A,N01,"ANESTHETICS, GENERAL",3.0,,,,
N01B,N01,LOCAL ANESTHETICS,3.0,,,,
N02A,N02,OPIOID ANALGESICS,3.0,,,,
N02B,N02,OTHER ANALGESICS AND ANTIPYRETICS in ATC,3.0,,,,
N02C,N02,ANTIMIGRAINE PREPARATIONS,3.0,,,,
N03A,N03,ANTIEPILEPTICS,3.0,,,,
N04A,N04,ANTICHOLINERGIC AGENTS,3.0,,,,
N04B,N04,DOPAMINERGIC AGENTS,3.0,,,,
N04C,N04,OTHER ANTIPARKINSON DRUGS in ATC,3.0,,,,
N05A,N05,ANTIPSYCHOTICS,3.0,,,,
N05B,N05,ANXIOLYTICS,3.0,,,,
N05C,N05,HYPNOTICS AND SEDATIVES,3.0,,,,
N06A,N06,ANTIDEPRESSANTS,3.0,,,,
N06B,N06,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",3.0,,,,
N06C,N06,PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION,3.0,,,,
N06D,N06,ANTI-DEMENTIA DRUGS,3.0,,,,
N07A,N07,PARASYMPATHOMIMETICS,3.0,,,,
N07B,N07,DRUGS USED IN ADDICTIVE DISORDERS,3.0,,,,
N07C,N07,ANTIVERTIGO PREPARATIONS,3.0,,,,
N07X,N07,OTHER NERVOUS SYSTEM DRUGS in ATC,3.0,,,,
P01A,P01,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,3.0,,,,
P01B,P01,ANTIMALARIALS,3.0,,,,
P01C,P01,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,3.0,,,,
P02B,P02,ANTITREMATODALS,3.0,,,,
P02C,P02,ANTINEMATODAL AGENTS,3.0,,,,
P02D,P02,ANTICESTODALS,3.0,,,,
P03A,P03,"ECTOPARASITICIDES, INCL. SCABICIDES",3.0,,,,
P03B,P03,INSECTICIDES AND REPELLENTS,3.0,,,,
R01A,R01,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,3.0,,,,
R01B,R01,NASAL DECONGESTANTS FOR SYSTEMIC USE,3.0,,,,
R02A,R02,THROAT PREPARATIONS,3.0,,,,
R03A,R03,"ADRENERGICS, INHALANTS",3.0,,,,
R03B,R03,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC",3.0,,,,
R03C,R03,ADRENERGICS FOR SYSTEMIC USE,3.0,,,,
R03D,R03,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC,3.0,,,,
R05C,R05,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",3.0,,,,
R05D,R05,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",3.0,,,,
R05F,R05,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",3.0,,,,
R05X,R05,OTHER COLD PREPARATIONS in ATC,3.0,,,,
R06A,R06,ANTIHISTAMINES FOR SYSTEMIC USE,3.0,,,,
R07A,R07,OTHER RESPIRATORY SYSTEM PRODUCTS in ATC,3.0,,,,
S01A,S01,ANTIINFECTIVE OPHTHALMOLOGICS,3.0,,,,
S01B,S01,"ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC",3.0,,,,
S01C,S01,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,3.0,,,,
S01E,S01,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,3.0,,,,
S01F,S01,MYDRIATICS AND CYCLOPLEGICS,3.0,,,,
S01G,S01,DECONGESTANTS AND ANTIALLERGICS,3.0,,,,
S01H,S01,"Local anesthetics, ophthalmologic",3.0,,,,
S01J,S01,"DIAGNOSTIC AGENTS, OPHTHAMOLOGIC",3.0,,,,
S01K,S01,"SURGICAL AIDS, OPHTHALMOLOGIC",3.0,,,,
S01L,S01,OCULAR VASCULAR DISORDER AGENTS,3.0,,,,
S01X,S01,OTHER OPHTHALMOLOGICALS IN ATC,3.0,,,,
S02A,S02,"ANTIINFECTIVE DRUGS, OTOLOGIC",3.0,,,,
S02B,S02,Corticosteroid otologicals,3.0,,,,
S02C,S02,"Corticosteroids and antiinfectives in combination, otologic",3.0,,,,
S02D,S02,OTHER OTOLOGICALS in ATC,3.0,,,,
S03A,S03,"ANTIINFECTIVES, OPHTHALMOLOGIC AND OTOLOGIC",3.0,,,,
S03B,S03,Corticosteroid ophthalmologic and otologic preparations,3.0,,,,
S03C,S03,"Corticosteroids and antiinfectives in combination, opthalmologic and otologic",3.0,,,,
S03D,S03,OTHER OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS in ATC,3.0,,,,
V01A,V01,ALLERGENS,3.0,,,,
V03A,V03,ALL OTHER THERAPEUTIC PRODUCTS,3.0,,,,
V04B,V04,URINE TEST DRUGS,3.0,,,,
